,GROUP_NAME,PlusMinus
185,G. Hayward - M. Plumlee - K. Oubre Jr. - P. Washington - L. Ball,-4.0
186,J. Valanciunas - C. McCollum - B. Ingram - Z. Williamson - H. Jones,1.6
187,R. Arcidiacono - D. Eubanks - M. Thybulle - T. Watford - S. Sharpe,-4.0
188,C. Capela - B. Bogdanovic - D. Murray - J. Collins - T. Young,-3.2
189,D. Jordan - V. Cancar - B. Brown - C. Braun - P. Watson,-2.5
190,J. Grant - J. Nurkic - J. Winslow - A. Simons - T. Watford,-1.3
191,J. Harris - R. O'Neale - E. Sumner - N. Claxton - C. Thomas,2.5
192,J. Valanciunas - C. McCollum - B. Ingram - H. Jones - T. Murphy III,-0.1
193,M. Plumlee - K. Oubre Jr. - T. Rozier - P. Washington - L. Ball,-5.1
194,P. Tucker - T. Harris - J. Embiid - D. Melton - T. Maxey,3.8
195,A. Rivers - R. Gobert - D. Russell - K. Towns - A. Edwards,-14.0
196,K. Olynyk - J. Clarkson - L. Markkanen - C. Sexton - J. Vanderbilt,3.5
197,M. Turner - B. Hield - T. Haliburton - A. Nesmith - J. Smith,-0.1
198,R. Arcidiacono - D. Eubanks - N. Little - M. Thybulle - S. Sharpe,1.0
199,R. Bullock - T. Hardaway Jr. - D. Powell - J. Green - J. Hardy,6.7
200,B. Bogdanovic - M. Bagley III - K. Hayes - I. Livers - J. Ivey,-1.8
201,L. James - A. Davis - D. Russell - J. Vanderbilt - A. Reaves,5.3
202,M. Plumlee - K. Oubre Jr. - T. Rozier - D. Smith Jr. - P. Washington,0.8
203,D. Brooks - J. Jackson Jr. - J. Morant - X. Tillman - D. Bane,0.9
204,G. Hayward - M. Plumlee - K. Oubre Jr. - D. Smith Jr. - P. Washington,-4.1
205,J. Grant - J. Nurkic - J. Winslow - J. Hart - S. Sharpe,-4.5
206,L. James - P. Beverley - D. Schroder - T. Bryant - J. Toscano-Anderson,-6.5
207,M. Plumlee - T. Rozier - P. Washington - J. McDaniels - L. Ball,-1.0
208,B. Griffin - M. Smart - J. Brown - J. Tatum - G. Williams,3.8
209,K. Lowry - C. Martin - H. Highsmith - M. Strus - N. Jovic,-1.0
210,L. James - P. Beverley - D. Schroder - T. Bryant - L. Walker IV,-2.3
211,M. Bagley III - J. Wiseman - K. Hayes - I. Livers - J. Ivey,-7.5
212,P. Siakam - F. VanVleet - G. Trent Jr. - P. Achiuwa - S. Barnes,0.7000000000000001
213,P. Tucker - T. Harris - M. Harrell - D. Melton - T. Maxey,1.7000000000000002
214,R. Bullock - S. Dinwiddie - D. Powell - D. Finney-Smith - L. Doncic,2.0
215,S. Adams - D. Brooks - J. Jackson Jr. - J. Morant - J. Konchar,2.7
216,T. Ross - W. Carter Jr. - C. Anthony - F. Wagner - P. Banchero,-2.3
217,B. Bogdanovic - M. Bagley III - K. Hayes - I. Stewart - I. Livers,-11.0
218,F. VanVleet - O. Anunoby - G. Trent Jr. - S. Barnes - C. Koloko,-2.0
219,J. Wall - M. Morris Sr. - A. Coffey - T. Mann - M. Brown,0.5
220,K. Bates-Diop - K. Johnson - T. Jones - S. Mamukelashvili - M. Branham,-3.3
221,K. Durant - K. Irving - J. Harris - R. O'Neale - N. Claxton,1.4
222,K. Martin Jr. - J. Tate - A. Sengun - J. Smith Jr. - T. Washington Jr.,-7.7
223,M. Conley - R. Gobert - K. Towns - A. Edwards - J. McDaniels,1.4
224,P. Siakam - J. Hernangomez - F. VanVleet - O. Anunoby - S. Barnes,0.2
225,C. Paul - D. Booker - T. Craig - M. Bridges - D. Ayton,-5.3
226,P. Siakam - F. VanVleet - O. Anunoby - S. Barnes - C. Koloko,0.0
227,B. Hield - A. Nembhard - A. Nesmith - C. Duarte - I. Jackson,-5.0
228,J. Poeltl - K. Johnson - D. Vassell - T. Jones - J. Sochan,-0.2
229,L. Dort - I. Joe - J. Giddey - J. Williams - J. Williams,-1.4
230,K. Lowry - B. Adebayo - C. Martin - M. Strus - T. Herro,3.0
231,K. Olynyk - K. Dunn - U. Azubuike - L. Samanic - O. Agbaji,-5.0
232,M. Turner - B. Hield - A. Nembhard - T. Haliburton - J. Smith,-0.8
233,R. Westbrook - E. Gordon - M. Morris Sr. - K. Leonard - I. Zubac,-5.5
234,C. Capela - D. Murray - J. Collins - T. Young - S. Bey,-4.0
235,J. Valanciunas - C. McCollum - Z. Williamson - H. Jones - T. Murphy III,-1.4
236,K. Porter Jr. - J. Green - K. Martin Jr. - A. Sengun - J. Smith Jr.,-1.8
237,K. Porzingis - K. Kuzma - M. Morris - D. Avdija - C. Kispert,-1.0
238,C. LeVert - D. Mitchell - D. Garland - L. Stevens - E. Mobley,1.8
239,T. Jones - B. Clarke - J. Konchar - J. LaRavia - D. Roddy,-10.5
240,A. Burks - C. Joseph - H. Diallo - J. Wiseman - I. Livers,-1.5
241,D. Saric - D. Booker - C. Payne - M. Bridges - D. Ayton,8.3
242,G. Hayward - D. Smith Jr. - S. Mykhailiuk - P. Washington - N. Richards,1.5
243,K. Irving - R. Bullock - D. Powell - L. Doncic - J. Green,0.4
244,D. Lillard - J. Grant - D. Eubanks - C. Reddish - M. Thybulle,0.8
245,G. Hayward - K. Oubre Jr. - T. Rozier - P. Washington - N. Richards,-1.4
246,T. Jones - D. Brooks - J. Jackson Jr. - D. Bane - D. Roddy,-3.7
247,B. Griffin - M. Smart - J. Brown - J. Tatum - D. White,5.6
248,D. Jordan - I. Smith - V. Cancar - D. Reed - B. Brown,6.5
249,J. Green - R. Jackson - T. Bryant - B. Brown - C. Braun,-5.0
250,K. Irving - J. Harris - R. O'Neale - B. Simmons - N. Claxton,1.6
251,J. Grant - J. Nurkic - J. Winslow - J. Hart - A. Simons,1.9
252,J. Green - J. Murray - B. Brown - Z. Nnaji - B. Hyland,-1.0
253,L. James - P. Beverley - A. Davis - D. Schroder - R. Hachimura,2.0
254,M. Wagner - G. Bitadze - C. Anthony - F. Wagner - J. Suggs,5.0
255,S. Adams - J. Morant - J. Konchar - D. Bane - S. Aldama,5.5
256,D. DeRozan - P. Beverley - N. Vucevic - Z. LaVine - A. Dosunmu,-5.5
257,D. Mitchell - M. Diakite - D. Garland - D. Wade - E. Mobley,6.0
258,J. Valanciunas - Z. Williamson - H. Jones - T. Murphy III - J. Alvarado,0.0
259,T. Hardaway Jr. - S. Dinwiddie - D. Powell - D. Finney-Smith - L. Doncic,1.0
260,B. Beal - K. Porzingis - D. Wright - D. Gafford - D. Avdija,3.5
261,J. Randle - M. Robinson - R. Barrett - Q. Grimes - I. Quickley,-1.6
262,B. Bol - K. Harris - F. Wagner - P. Banchero - C. Houstan,5.0
263,C. McCollum - B. Ingram - N. Marshall - H. Jones - T. Murphy III,0.5
264,K. Knox II - C. Reddish - N. Little - K. Johnson - J. Walker,-8.5
265,K. Lowry - C. Martin - M. Strus - T. Herro - N. Jovic,-1.0
266,K. Lowry - J. Butler - B. Adebayo - H. Highsmith - T. Herro,-0.8
267,P. Siakam - O. Anunoby - G. Trent Jr. - S. Barnes - C. Koloko,5.6
268,B. Beal - K. Porzingis - K. Kuzma - M. Morris - D. Gafford,0.6000000000000001
269,B. Bogdanovic - F. Kaminsky - A. Holiday - J. Johnson - A. Griffin,9.5
270,D. DeRozan - P. Beverley - N. Vucevic - Z. LaVine - P. Williams,-6.3
271,D. Lillard - J. Grant - A. Simons - D. Eubanks - N. Little,-5.3
272,L. James - P. Beverley - D. Schroder - T. Bryant - T. Brown Jr.,3.8
273,M. Plumlee - R. Covington - N. Powell - T. Mann - B. Hyland,2.3
274,S. Mykhailiuk - T. Maledon - J. Thor - M. Williams - B. McGowens,0.0
275,T. Gibson - K. Kuzma - M. Morris - D. Avdija - C. Kispert,0.7000000000000001
276,W. Barton - D. Wright - R. Hachimura - D. Gafford - A. Gill,-4.7
277,D. Wright - D. Gafford - A. Gill - C. Kispert - J. Davis,5.5
278,G. Harris - M. Fultz - W. Carter Jr. - P. Banchero - C. Houstan,-1.0
279,L. James - A. Davis - D. Russell - M. Beasley - J. Vanderbilt,4.5
280,A. Horford - M. Smart - J. Brown - J. Tatum - G. Williams,-0.30000000000000004
281,B. Bogdanovic - D. Murray - O. Okongwu - S. Bey - A. Griffin,1.6
282,G. Hayward - K. Oubre Jr. - T. Rozier - P. Washington - M. Williams,3.3
283,R. Westbrook - E. Gordon - N. Batum - P. George - M. Plumlee,2.5
284,T. Ross - W. Carter Jr. - B. Bol - F. Wagner - P. Banchero,8.0
285,B. Bogdanovic - M. Bagley III - K. Hayes - I. Stewart - J. Ivey,-4.7
286,K. Durant - J. Harris - R. O'Neale - E. Sumner - N. Claxton,0.6000000000000001
287,M. Conley - J. Clarkson - L. Markkanen - J. Vanderbilt - W. Kessler,0.30000000000000004
288,V. Oladipo - B. Adebayo - D. Robinson - H. Highsmith - T. Herro,4.0
289,D. Hunter - O. Okongwu - T. Forrest - J. Johnson - A. Griffin,-8.0
290,D. Wright - D. Gafford - D. Avdija - C. Kispert - J. Davis,-1.5
291,J. Wall - P. George - M. Morris Sr. - R. Jackson - I. Zubac,15.0
